#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1496368189742178636	parsec.freqmine	1400	43	1.000000	1.480000	1.570000	1383365590	313092	123863	519173703	2723587	1172671874	1396
1496368190251348313	parsec.freqmine	1400	43	1.000000	1.426000	1.512000	1402117234	279636	116547	460791770	4314288	1119036650	1221
1496368190761404197	parsec.streamcluster	1400	42	1.000000	1.425000	1.511000	773735981	8599106	2532025	167387342	2868632	323584539	41065
1496368191271686039	parsec.streamcluster	1400	42	1.000000	0.821000	0.868000	772536332	8457576	2498126	171474736	2833105	336769098	40606
1496368191781703590	parsec.streamcluster	1400	41	1.000000	0.815000	0.862000	771358523	8322543	2460123	175449573	2796862	351730938	39860
1496368192292002932	parsec.streamcluster	1400	41	1.000000	0.820000	0.867000	989502667	4663019	1455626	309097046	2273358	670318456	23116
1496368192801627191	parsec.streamcluster	1400	41	1.000000	1.089000	1.154000	1402158504	136536	56574	465364667	1767976	1066918882	887
1496368193311107659	parsec.streamcluster	1400	42	1.000000	1.550000	1.646000	1402178452	136786	57303	465488007	1767006	1067076204	927
1496368193820390919	parsec.streamcluster	1400	43	1.000000	1.562000	1.658000	1402174899	134329	56976	465344329	1768081	1067240209	916
1496368194329763346	parsec.streamcluster	1400	43	1.000000	1.563000	1.659000	1402177781	137961	59029	465424144	1766802	1066861299	913
1496368194839081439	parsec.streamcluster	1400	43	1.000000	1.565000	1.662000	1402201068	133405	57809	465353637	1768126	1067394599	886
1496368195348370116	parsec.streamcluster	1400	44	1.000000	1.567000	1.664000	1402504292	137003	58057	464903744	1767662	1066929606	886
1496368195857688542	parsec.streamcluster	1400	44	1.000000	1.568000	1.665000	1402176164	134446	57958	462410905	1772889	1064765127	935
1496368196367017760	parsec.streamcluster	1400	44	1.000000	1.571000	1.668000	1402213980	138817	59283	461926821	1770194	1065004675	931
1496368196876535812	parsec.streamcluster	1400	44	1.000000	1.568000	1.665000	1401959037	134637	56212	461874941	1773912	1066206529	868
1496368197385956363	parsec.streamcluster	1400	44	1.000000	1.567000	1.664000	1401985523	136008	58377	461625045	1781076	1066417687	828
