#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481349574032990778	automotive_susan_e	1000	54	0.900000	0.617000	0.603000	500685918	744205950	3159	6182	0	1419508	39196210
1481349574542165098	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500681103	744399729	3157	6178	0	1418039	39214995
1481349575051321419	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500683881	745325020	3114	6091	0	1414579	39154953
1481349575560477324	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500896012	751455396	2829	5531	0	1398918	38778919
1481349576069612394	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500652896	751374794	3150	6173	0	1397004	38788732
1481349576578781840	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500599182	744402684	3157	6178	0	1384437	37619782
1481349577088185078	automotive_susan_e	1000	54	0.900000	0.612000	0.598000	500612910	744696450	3155	6174	0	1398221	38946848
1481349577597476691	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500604108	745272902	3159	6182	0	1395377	39000080
1481349578106639720	automotive_susan_e	1000	54	0.900000	0.616000	0.602000	500618766	743761529	3158	6180	0	1413289	39076319
1481349578615838416	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500616555	744358956	3160	6184	0	1417825	39184900
1481349579124991029	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500693280	744252497	3160	6184	0	1417269	39196783
1481349579634119641	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500618796	744054559	3160	6184	0	1419250	39190423
1481349580143302504	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500616798	745536725	3100	6064	0	1414005	39145976
1481349580652526450	automotive_susan_e	1000	54	0.900000	0.613000	0.599000	500653453	751427030	2844	5561	0	1393674	38760350
1481349581161729229	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500670914	751424879	3151	6174	0	1390242	38806173
1481349581671021592	automotive_susan_e	1000	54	0.900000	0.615000	0.601000	500616000	743872043	3159	6182	0	1377651	37554458
1481349582180407872	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500619747	742438955	3156	6176	0	1362310	38033714
1481349582690068194	automotive_susan_e	1000	54	0.900000	0.620000	0.606000	500617398	744023481	3158	6180	0	1390900	38938438
1481349583199982641	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500708484	743048360	3158	6180	0	1399540	38902016
1481349583709860880	automotive_susan_e	1000	54	0.900000	0.621000	0.607000	500620365	743702733	3158	6180	0	1416774	39181327
