#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496402753035614257	parsec.freqmine	1400	36	1.000000	0.657000	0.695000	702786971	1748	502186	35044326	68311092	42245416	918569
1496402753544883892	parsec.freqmine	1400	36	1.000000	0.658000	0.696000	702840155	1742	542712	35021899	68272257	42881099	919977
1496402754054128944	parsec.freqmine	1400	36	1.000000	0.657000	0.695000	703051857	1746	555134	35041603	68306095	43129441	922162
1496402754563243912	parsec.freqmine	1400	36	1.000000	0.657000	0.695000	703045580	1748	525750	35025495	68282974	42635859	930142
1496402755072461422	parsec.freqmine	1400	36	1.000000	0.657000	0.695000	702677678	1743	533986	35022608	68257213	42754253	919407
1496402755581586724	parsec.freqmine	1400	36	1.000000	0.658000	0.696000	703093974	1752	522409	35033365	68314591	42596346	928502
1496402756090996192	parsec.freqmine	1400	36	1.000000	0.657000	0.695000	702879006	1749	532064	35032289	68295738	42728330	922847
1496402756600148244	parsec.freqmine	1400	36	1.000000	0.657000	0.695000	702795652	1749	566723	35067147	68374061	43318839	924598
1496402757109281463	parsec.freqmine	1400	36	1.000000	0.658000	0.696000	703166048	1750	561021	35082823	68397230	43258658	927488
1496402757618661181	parsec.freqmine	1400	35	1.000000	0.656000	0.694000	702704908	1744	550336	35064286	68341805	43039632	920603
1496402758127934774	parsec.freqmine	1400	35	1.000000	0.657000	0.695000	702561814	1732	542235	35027292	68280368	42862015	915953
1496402758637131617	parsec.freqmine	1400	35	1.000000	0.656000	0.694000	702786529	1743	506684	35011273	68266675	42281818	928655
1496402759146411252	parsec.freqmine	1400	35	1.000000	0.655000	0.692000	702891611	1746	511249	35043359	68332812	42390580	926273
1496402759655619221	parsec.freqmine	1400	35	1.000000	0.655000	0.692000	702487650	1737	484781	35005824	68235995	41928857	921197
1496402760164930814	parsec.freqmine	1400	35	1.000000	0.656000	0.694000	788453719	3753	1549308	43032037	106226404	97568046	2221981
1496402760674191366	parsec.freqmine	1400	36	1.000000	1.000000	1.060000	1380758363	5289	5909733	73493133	337950600	425253532	8383114
1496402761183939667	parsec.freqmine	1400	37	1.000000	1.380000	1.465000	1376006593	42877	4224963	151405970	277993604	181132302	52906064
1496402761693269510	parsec.freqmine	1400	37	1.000000	1.172000	1.243000	1375549477	4128	11572320	202273323	633743636	424729229	16497950
1496402762202578853	parsec.freqmine	1400	38	1.000000	1.588000	1.686000	1401932464	468	15904674	235268418	837540499	599110426	5199348
1496402762711840905	parsec.freqmine	1400	38	1.000000	1.605000	1.704000	1401923674	464	16223382	232813688	839366083	604281605	5920499
1496402763221046748	parsec.freqmine	1400	38	1.000000	1.605000	1.704000	1401923683	460	14977218	235992373	854338741	594719705	6457758
1496402763730271467	parsec.freqmine	1400	38	1.000000	1.616000	1.716000	1401895936	454	14920816	237378723	868851222	602710323	5538065
1496402764239527393	parsec.freqmine	1400	39	1.000000	1.610000	1.709000	1402032721	454	15081791	236634940	868715623	603879961	5183408
1496402764748713904	parsec.freqmine	1400	39	1.000000	1.607000	1.706000	1401903019	460	15733390	235014203	853821128	604823367	5186281
1496402765257976705	parsec.freqmine	1400	39	1.000000	1.600000	1.699000	1401913586	454	15653172	236867508	858305975	608297423	5017472
1496402765767347132	parsec.freqmine	1400	39	1.000000	1.609000	1.708000	1401913410	454	15764134	234713545	852353098	603829935	5676605
1496402766276639183	parsec.freqmine	1400	39	1.000000	1.612000	1.711000	1401931890	454	15348120	234999918	864991776	604084833	5787443
1496402766786015277	parsec.freqmine	1400	39	1.000000	1.617000	1.717000	1402094318	456	16244472	232235631	847197606	608129789	6149219
1496402767295193162	parsec.freqmine	1400	39	1.000000	1.600000	1.699000	1401922831	454	15929963	232947497	849537684	602910534	5454711
1496402767804525172	parsec.freqmine	1400	39	1.000000	1.612000	1.711000	1402052528	460	15645793	232378950	848749521	597375460	5992618
1496402768313751098	parsec.freqmine	1400	39	1.000000	1.610000	1.709000	1401903324	458	15447919	233158962	863894044	602839487	5598129
1496402768822908358	parsec.freqmine	1400	39	1.000000	1.607000	1.706000	1401864666	450	16081589	230387037	847095530	601922666	5874297
1496402769332113952	parsec.freqmine	1400	39	1.000000	1.603000	1.702000	1401890106	454	16003981	229823401	833140449	591136984	6129028
1496402769841433503	parsec.freqmine	1400	39	1.000000	1.544000	1.639000	1398824129	540	10771020	223354056	630167676	405363141	13640385
1496402770350732972	parsec.freqmine	1400	39	1.000000	1.456000	1.546000	1386054678	1680	13327971	207242362	595820554	444970045	13488771
1496402770860250190	parsec.freqmine	1400	39	1.000000	1.406000	1.493000	1399059260	2633	18019475	191364466	447185890	479428149	18972656
1496402771369518366	parsec.freqmine	1400	39	1.000000	1.412000	1.498000	535305242	46095	3170459	48502756	120481324	140277715	9191291
1496402771879706709	parsec.streamcluster	1400	38	1.000000	0.732000	0.776000	772786161	72038	4785112	67812274	170483217	204380719	13726980
1496402772390188550	parsec.streamcluster	1400	38	1.000000	0.819000	0.866000	772192255	71030	4760949	70359013	173554515	205648006	13610090
1496402772900564934	parsec.streamcluster	1400	38	1.000000	0.824000	0.871000	798268840	70570	4624619	75212233	188894441	210999456	13742286
1496402773410151443	parsec.streamcluster	1400	37	1.000000	0.816000	0.863000	1302549902	4350	1772525	60837210	451580027	291837531	45482560
1496402773919558370	parsec.streamcluster	1400	38	1.000000	1.454000	1.544000	1401961264	1044	1993179	53660721	465183073	309479563	52549089
1496402774429017838	parsec.streamcluster	1400	39	1.000000	1.556000	1.652000	1402205268	1059	2006094	53721590	465133242	309698997	52535262
1496402774938283556	parsec.streamcluster	1400	39	1.000000	1.557000	1.653000	1401981536	1038	2005803	53745686	465238260	309743130	52535852
1496402775447609608	parsec.streamcluster	1400	40	1.000000	1.558000	1.654000	1401971548	1038	1996950	53623969	465090626	309440257	52551006
1496402775957107409	parsec.streamcluster	1400	40	1.000000	1.560000	1.656000	1402194507	1043	2009809	53724801	465258671	309897740	52547022
1496402776466524585	parsec.streamcluster	1400	40	1.000000	1.560000	1.656000	1402006005	1000	1876860	53243718	462970247	305276252	54136859
1496402776975808095	parsec.streamcluster	1400	40	1.000000	1.560000	1.656000	1401990736	1033	1795396	52944748	461997862	302984658	55107758
1496402777485202272	parsec.streamcluster	1400	41	1.000000	1.562000	1.658000	1401969632	1051	1751411	52819161	461687429	301696055	54688842
1496402777994507449	parsec.streamcluster	1400	41	1.000000	1.562000	1.658000	1402165384	1078	1713289	52772645	461503734	300596413	54183331
1496402778503891750	parsec.streamcluster	1400	41	1.000000	1.559000	1.655000	1401984508	1060	1680929	52723604	461033005	299440693	53979501
1496402779013352010	parsec.streamcluster	1400	41	1.000000	1.557000	1.653000	1401971112	1059	1660273	52578670	460851044	298969062	53930063
1496402779522686811	parsec.streamcluster	1400	41	1.000000	1.558000	1.654000	1401957539	1072	1649741	52686469	460065484	298111989	52907185
1496402780032089780	parsec.streamcluster	1400	41	1.000000	1.554000	1.650000	1401950581	1075	1621832	52369581	459946201	297443809	52858213
1496402780541506748	parsec.streamcluster	1400	41	1.000000	1.552000	1.648000	1401960912	1033	1624395	52491575	459887980	297443556	52831172
1496402781050808466	parsec.streamcluster	1400	41	1.000000	1.553000	1.649000	1401970390	1074	1621482	52404631	459875607	297340479	52822379
1496402781560225517	parsec.streamcluster	1400	41	1.000000	1.553000	1.649000	1402298560	1008	1616868	52637376	459076506	296677506	53188245
1496402782069658486	parsec.streamcluster	1400	41	1.000000	1.553000	1.649000	1401975334	1034	1604529	52209010	458887762	296464700	53178020
1496402782578937787	parsec.streamcluster	1400	41	1.000000	1.553000	1.649000	1401953376	1078	1606593	52233191	458761237	296361843	53162360
1496402783088293130	parsec.streamcluster	1400	41	1.000000	1.553000	1.649000	1166016291	3847	1514457	45488988	378197162	248801017	42991448
1496402783598354973	splash2x.barnes	1400	41	1.000000	0.948000	1.009000	630860068	56638	3851793	57431866	142885153	167536333	11124388
1496402784108581565	splash2x.barnes	1400	40	1.000000	0.823000	0.870000	773079910	71535	4762782	67867964	170534406	204438545	13802540
1496402784618957281	splash2x.barnes	1400	39	1.000000	0.810000	0.856000	771701459	70395	4722682	70664221	173989316	205753510	13653208
