#Timestamp	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211579585814908	848927833	0	4415911	1828972	3170774	332166453	3732941
1481211580086436212	845390992	0	4399759	1819138	3029183	330792534	3717946
1481211580587142357	847367339	0	4410982	1829528	3031089	331762740	3726594
1481211581087860004	849233805	0	4413671	1828986	3211077	332078642	3731870
1481211581588554284	845212993	0	4393080	1818806	3200399	330415789	3709343
1481211582089282106	846556182	0	4405904	1823713	2982529	331713976	3727239
1481211582589996103	768637748	0	4016499	1663667	2448820	300209989	3382435
1481211583090652601	575147198	0	3973687	1551764	2316420	189598347	2317335
1481211583591287856	729830339	0	4962793	1959506	2997452	245885516	2964854
1481211584091909238	729754029	0	4950715	1967653	2999945	245890370	2963295
1481211584592530418	730857040	0	4959045	1967269	3001232	246073771	2965504
1481211585093137600	734771615	0	4976087	1978937	3021068	247765588	2984031
1481211585593762289	739142571	0	5037256	2007047	3031116	248615389	2999340
1481211586094380896	747862525	0	5067307	2021519	3075994	252478167	3042923
1481211586595086051	742985829	0	5036942	2002079	3049361	250557078	3023185
1481211587095714042	747649293	0	5085000	2020693	3079130	251691182	3038016
1481211587596338122	734655622	0	5004925	1982777	3018739	247496304	2985435
1481211588096941371	731260002	0	4978216	1979987	3003123	246092531	2965586
1481211588597546417	730838838	0	4960332	1965054	3002138	246323109	2967788
1481211589098150507	735749553	0	5005341	1985023	3027569	247806122	2981787
1481211589598767103	742501292	0	5051240	2000439	3050699	250393043	3017034
1481211590099409701	737613622	0	5020575	1990525	3029004	248389323	2999750
1481211590600083889	744022501	0	5056130	2007529	3056488	250610783	3033090
1481211591100702119	733357224	0	4964665	1972352	3018330	247558837	2992265
1481211591601403356	740477370	0	5035696	2002529	3044868	248952028	3017624
1481211592102055678	736297382	0	4992399	1986217	3029540	248221911	3000623
1481211592602702797	736653470	0	4996995	1986297	3029423	248259929	3002076
1481211593103303418	742280900	0	5042596	2006482	3049225	250312157	3026403
1481211593603936962	736326428	0	4995110	1987320	3037180	248142075	2999491
1481211594104566174	740115359	0	5040421	2002871	3036977	248944012	3013972
1481211594605222599	746613636	0	5060380	2005990	3076092	252109520	3043297
1481211595105844235	738885546	0	5043739	1996447	3039721	248745900	3011442
1481211595606492835	730636199	0	4962313	1969081	3004568	246091402	2978134
1481211596107109603	735409964	0	4988712	1976990	3025535	247899543	2995378
1481211596607753459	731270704	0	4971526	1973484	3010256	246213970	2978441
1481211597108367818	729911108	0	4957872	1968117	3007965	245909980	2977302
1481211597608989182	740773207	0	5020976	1988053	3048229	250027181	3020130
1481211598109618797	729439857	0	4948082	1967808	3002035	245775062	2974850
1481211598610298459	740336552	0	5054095	2005226	3046785	248991734	3021795
1481211599110897540	756168956	0	5139114	2030663	3110565	255131075	3088560
1481211599611522001	742021549	0	5032609	1995935	3053740	250382216	3029627
1481211600112142130	746209985	0	5078020	2020332	3083072	251122998	3046991
1481211600612765055	736281676	0	4986375	1994119	3029697	248138740	3003394
1481211601113368191	732000259	0	4962824	1976039	3013611	246559212	2983247
