#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495831154496828044	parsec.facesim	1	1800	39	1.1	1.096	1.312	901090085	54614	22149	168351293	235407	343177212	115	224	23172	6777360	179116275	96171295	16512444
1495831155006091876	parsec.facesim	1	1800	39	1.1	1.101	1.318	901095890	53711	22777	167431506	233297	341925333	116	226	22847	6777922	179661189	96260598	16534402
1495831155515416105	parsec.facesim	1	1800	39	1.1	1.095	1.311	901094338	52827	22264	168120885	234865	342564810	117	224	21525	6703220	178294966	95751903	16246253
1495831156024741668	parsec.facesim	1	1800	39	1.1	1.098	1.315	901093749	52283	22847	166708438	233334	340104964	116	228	23129	6732419	178837472	96059731	16313803
1495831156534018399	parsec.facesim	1	1800	39	1.1	1.094	1.310	901097397	50963	21256	168021424	233191	342476941	116	226	21817	6723914	178394437	95822215	16247785
1495831157043303380	parsec.facesim	1	1800	39	1.1	1.098	1.315	901144813	51625	21841	168480750	235054	344216516	117	241	517753	26740035	296719209	164571742	14875871
1495831157552608112	parsec.facesim	1	1800	40	1.1	1.227	1.471	901189656	4208374	26749	307412138	3708129	615816714	131	224	985367	46335544	409296100	232787749	13461903
1495831158061934366	parsec.facesim	1	1800	40	1.1	1.226	1.469	901217425	7622831	27598	411380834	6720635	830456730	117	224	971480	44573056	393213418	225944583	14130431
1495831158571120141	parsec.facesim	1	1800	40	1.2	1.360	1.632	901257447	7511389	28062	402078595	6670656	816220349	116	251	535187	49584385	348830653	198834118	9922280
1495831159080289313	parsec.facesim	1	1800	40	1.2	1.360	1.632	901163812	7329904	28787	396530320	6668567	809019982	117	2293	1291117	134768423	324238802	215513075	9671097
1495831159589648006	parsec.facesim	1	1800	40	1.2	1.341	1.609	758977354	2707765	27730	340887589	5537345	755862600	138	18966	1673464	56810715	117190044	116433075	9321484
