#Timestamp	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481345116867161685	750787431	358906556	32300	32432	0	5969289	63431328
1481345117367809490	742832603	355100733	31931	32066	0	5897468	62780922
1481345117868445877	750955340	358867157	32271	32401	0	5974117	63452554
1481345118369092557	750806259	358855193	32268	32399	0	5970083	63419341
1481345118869758653	750927344	358603143	32223	32357	0	5974019	63402113
1481345119370604458	750516156	358381461	32224	32354	0	5973849	63367347
1481345119871327804	746636105	356837556	32095	32223	0	5939822	63083875
1481345120372048483	751075690	358955249	32286	32412	0	5972462	63459544
1481345120872777330	748917089	357863258	32186	32317	0	5955386	63261144
1481345121373517926	750884297	358919507	32266	32392	0	5955881	63456436
1481345121874250647	751083200	358949951	32287	32417	0	5978952	63454886
1481345122375027743	751176760	358901461	32245	32375	0	5977866	63471971
1481345122875820673	750640656	358545658	32254	32386	0	5975197	63405601
1481345123376476269	749449691	358358554	32239	32369	0	5970171	63320557
1481345123877128490	750980510	358822830	32244	32373	0	5969926	63455895
1481345124377785378	750985182	358956813	32289	32416	0	5976960	63444383
1481345124878422599	750950608	359138485	32302	32428	0	5972517	63487734
1481345125379061945	750960772	358976351	32262	32391	0	5951481	63504684
1481345125879706666	749441034	358252582	32199	32328	0	5946872	63332151
1481345126380400012	751044864	359011988	32298	32430	0	5982928	63451566
1481345126881063067	750985408	358865356	32290	32419	0	5973654	63433941
1481345127381708954	750966012	358824539	32242	32375	0	5974697	63453309
1481345127882356342	750976436	359192826	32335	32463	0	5978249	63472408
1481345128383011271	750980440	358885845	32262	32392	0	5973752	63451491
1481345128883655326	745088068	356144335	32023	32154	0	5924794	62958874
1481345129384295172	750945678	359018203	32292	32420	0	5978613	63470076
1481345129884981143	750816124	358977929	32283	32417	0	5973697	63475293
1481345130385626656	751038248	359034214	32295	32426	0	5983285	63437484
1481345130886280377	750803607	358795733	32257	32386	0	5957360	63428831
1481345131386911139	750807657	358707715	32244	32375	0	5976734	63441480
1481345131887563235	750885318	358995341	32295	32425	0	5971932	63451161
