#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211472726216193	automotive_susan_e	1	2000	54	1.300000	1.844000	2.446000	1001214236	0	1298833	631541	1167951	682252995	760973
1481211473235292037	automotive_susan_e	1	2000	54	1.300000	1.845000	2.448000	1001205425	0	1366372	659577	1196601	675657347	785978
1481211473744420741	automotive_susan_e	1	2000	54	1.300000	1.864000	2.473000	1001274620	0	1352143	651953	1167797	680344192	788040
1481211474253584469	automotive_susan_e	1	2000	54	1.300000	1.851000	2.456000	1001350650	0	1307045	632565	1164725	683932063	763923
1481211474762919888	automotive_susan_e	1	2000	54	1.300000	1.766000	2.343000	1001259295	0	1293619	628299	1167939	684185804	763678
1481211475272023625	automotive_susan_e	1	2000	54	1.300000	1.851000	2.456000	1001213690	0	1335823	632525	1169645	682197063	759919
1481211475781560134	automotive_susan_e	1	2000	54	1.300000	1.817000	2.411000	1001204330	0	1360730	649824	1194149	675525785	779417
1481211476290641296	automotive_susan_e	1	2000	54	1.300000	1.803000	2.392000	1001389600	0	1353050	650235	1170809	680143625	784614
1481211476800113853	automotive_susan_e	1	2000	54	1.300000	1.777000	2.358000	1001205270	0	1337994	634292	1165969	683048567	762314
1481211477309178231	automotive_susan_e	1	2000	54	1.300000	1.762000	2.338000	1001209075	0	1308501	632302	1172470	684618375	761072
1481211477818565627	automotive_susan_e	1	2000	54	1.300000	1.763000	2.339000	1001196245	0	1342952	635112	1183444	682101372	764086
1481211478327690303	automotive_susan_e	1	2000	54	1.300000	1.766000	2.345000	1001222181	0	1350593	659347	1199759	676149756	777759
1481211478836804038	automotive_susan_e	1	2000	54	1.300000	1.797000	2.384000	1001304884	0	1369946	659652	1177899	678180781	797334
1481211479345954345	automotive_susan_e	1	2000	54	1.300000	1.821000	2.416000	1001199994	0	1283970	624455	1171839	683703523	760066
1481211479855043750	automotive_susan_e	1	2000	54	1.300000	1.850000	2.454000	1001199246	0	1298418	627027	1168236	683966657	765280
1481211480364145188	automotive_susan_e	1	2000	54	1.300000	1.851000	2.456000	1001324160	0	1298894	630122	1179599	683476880	770070
1481211480873243096	automotive_susan_e	1	2000	54	1.300000	1.864000	2.473000	1001201961	0	1343045	637648	1185275	676678663	773728
1481211481382592329	automotive_susan_e	1	2000	54	1.300000	1.843000	2.445000	1001232339	0	1392785	662786	1191752	677703591	801446
1481211481891633615	automotive_susan_e	1	2000	54	1.300000	1.839000	2.440000	1001182790	0	1330517	631997	1167670	683806153	764274
1481211482401268809	automotive_susan_e	1	2000	54	1.300000	1.801000	2.389000	1001205585	0	1315440	631942	1177324	684126539	764294
1481211482910308222	automotive_susan_s	1	2000	53	1.300000	1.400000	1.855000	665722866	0	404669	140554	204473	338405812	162904
1481211483419260337	automotive_susan_s	1	2000	54	1.300000	1.902000	2.525000	1001184116	0	210299	90520	155904	520279533	94685
1481211483928274627	automotive_susan_s	1	2000	54	1.300000	1.903000	2.525000	1001321920	0	157698	66885	122896	522786775	69737
1481211484437374744	automotive_susan_s	1	2000	54	1.300000	1.913000	2.540000	1001291841	0	213914	91402	154921	520086942	94569
1481211484946359659	automotive_susan_s	1	2000	54	1.300000	1.904000	2.526000	1001164239	0	156913	66262	121094	522767127	70118
