#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481341002036671710	automotive_susan_s	1	2000	56	1.300000	1.928000	2.560000	1001206275	1617140428	275	524	0	11299293	176747268
1481341002545677572	automotive_susan_s	1	2000	56	1.300000	1.918000	2.547000	1001521136	1607133512	360	681	0	11224720	175771938
1481341003054601976	automotive_susan_s	1	2000	56	1.300000	1.919000	2.548000	1001182289	1616961340	275	524	0	11300068	176749180
1481341003563639422	automotive_susan_s	1	2000	56	1.300000	1.927000	2.559000	1001189092	1606841128	359	679	0	11222019	175718840
1481341004072771618	automotive_susan_s	1	2000	56	1.300000	1.923000	2.553000	1001186595	1616776056	275	524	0	11296306	176737131
1481341004581782855	automotive_susan_s	1	2000	56	1.300000	1.914000	2.541000	1001205959	1572589799	359	679	0	12362121	172008882
1481341005090872759	automotive_susan_s	1	2000	56	1.300000	1.914000	2.541000	1001192560	1607194515	358	677	0	11229389	175816308
1481341005599875788	automotive_susan_s	1	2000	56	1.300000	1.917000	2.545000	1001204319	1616252254	276	526	0	11296361	176648144
1481341006108878359	automotive_susan_s	1	2000	56	1.300000	1.927000	2.559000	1001198982	1607173747	359	679	0	11223087	175774062
1481341006617909763	automotive_susan_s	1	2000	56	1.300000	1.916000	2.544000	1001332844	1617167399	276	526	0	11301673	176766106
1481341007126911417	automotive_susan_s	1	2000	56	1.300000	1.918000	2.547000	673646974	812515479	876	1424	4	5656920	95216731
1481341007636273613	bzip2d	1	2000	54	1.300000	1.002000	1.325000	1001230935	606638342	3944	6878	1	7942802	104271005
1481341008145319059	bzip2d	1	2000	54	1.300000	1.519000	2.015000	1001197381	492771531	2990	4858	0	6246287	86009299
1481341008654524754	bzip2d	1	2000	54	1.300000	1.558000	2.067000	1001327979	601492930	3796	6542	0	7903120	103260752
1481341009163691367	bzip2d	1	2000	53	1.300000	1.457000	1.931000	1001185820	510813793	3135	5113	0	6548822	89248287
1481341009672849396	bzip2d	1	2000	53	1.300000	1.559000	2.068000	1001189986	583091170	3652	6289	0	7599103	99990669
1481341010181962967	bzip2d	1	2000	53	1.300000	1.421000	1.884000	1001194153	539136234	3321	5495	0	6991731	94006602
1481341010691208455	bzip2d	1	2000	53	1.300000	1.533000	2.032000	1001335121	555675676	3474	5915	0	7144991	95429079
1481341011200320859	bzip2d	1	2000	53	1.300000	1.559000	2.068000	1001196529	563707427	3481	5834	0	7407127	98060792
1481341011709450805	bzip2d	1	2000	53	1.300000	1.442000	1.912000	1001193571	530454882	3304	5564	0	6746654	91192188
1481341012218639334	bzip2d	1	2000	53	1.300000	1.419000	1.881000	1001195485	592277325	3672	6226	0	7876520	103009026
1481341012727765030	bzip2d	1	2000	52	1.300000	1.529000	2.028000	1001197605	502466603	3118	5178	0	6258270	86358461
1481341013236861059	bzip2d	1	2000	52	1.300000	1.562000	2.072000	1001205379	614812740	3818	6536	0	8264089	106796585
1481341013746142214	bzip2d	1	2000	53	1.300000	1.446000	1.917000	1001201577	478890854	2969	4866	0	5890750	82469467
1481341014255303534	bzip2d	1	2000	52	1.300000	1.423000	1.886000	1001203964	626764732	3818	6564	0	8303199	107568521
1481341014764468605	bzip2d	1	2000	53	1.300000	1.536000	2.036000	1001187190	484528372	2956	4824	0	6133915	84596234
1481341015273652385	bzip2d	1	2000	52	1.300000	1.538000	2.040000	1001191281	610898809	3823	6569	0	7999708	104631281
1481341015782870039	bzip2d	1	2000	52	1.300000	1.431000	1.897000	1001192973	501014080	3065	4967	0	6368314	87576528
1481341016292037152	bzip2d	1	2000	52	1.300000	1.556000	2.064000	1001174126	593241546	3725	6437	0	7763917	101787081
1481341016801419306	bzip2d	1	2000	52	1.300000	1.475000	1.957000	1001219489	526850174	3237	5326	0	6806179	91881041
1481341017310651002	bzip2d	1	2000	52	1.300000	1.406000	1.864000	1001195115	567337420	3547	6071	0	7339923	97386247
1481341017819716490	bzip2d	1	2000	52	1.300000	1.489000	1.974000	1001199051	550732695	3400	5663	0	7188651	95976516
1481341018328890144	bzip2d	1	2000	52	1.300000	1.563000	2.074000	1001200390	543581019	3388	5740	0	6945109	93277563
1481341018838165132	bzip2d	1	2000	52	1.300000	1.485000	1.970000	1001399275	573234417	3546	5970	0	7575627	99759104
1481341019347355744	bzip2d	1	2000	52	1.300000	1.411000	1.870000	1001352381	521007737	3242	5432	0	6567980	89560739
1481341019858507694	bzip2d	1	2000	53	1.300000	1.496000	1.985000	1001317521	589711842	3649	6197	0	7855866	102438935
1481341020368224391	bzip2d	1	2000	52	1.300000	1.403000	1.860000	1001502750	502701955	3123	5189	0	6311230	86585562
1481341020877644421	bzip2d	1	2000	53	1.300000	1.458000	1.933000	1001462160	613766225	3809	6516	0	8226375	106535275
1481341021386910492	bzip2d	1	2000	52	1.300000	1.569000	2.082000	1001453875	480929723	2979	4885	0	5915636	82820917
1481341021896239396	bzip2d	1	2000	53	1.300000	1.519000	2.014000	1001377830	627256955	3820	6568	0	8298359	107629201
1481341022405473176	bzip2d	1	2000	52	1.300000	1.406000	1.864000	1001373405	485244045	2955	4822	0	6164083	84725797
1481341022914625455	bzip2d	1	2000	53	1.300000	1.460000	1.935000	1001619325	609850663	3827	6574	0	8003994	104611040
1481341023934727059	bzip2e	1	2000	53	1.300000	1.089000	1.440000	976839846	616009937	4830	8702	4	11203251	91622371
1481341024443855879	bzip2e	1	2000	53	1.300000	1.733000	2.301000	1001394865	729447275	3814	6835	0	9926592	88367182
1481341024953081742	bzip2e	1	2000	53	1.300000	1.734000	2.301000	1001437840	645815347	2210	4025	0	12212135	90253486
1481341025462434772	bzip2e	1	2000	54	1.300000	1.733000	2.301000	1001408880	700994207	3979	7166	0	11502848	94718946
1481341025971651801	bzip2e	1	2000	54	1.300000	1.716000	2.277000	1001375140	732914402	2821	4851	0	10514865	90748865
1481341026480825289	bzip2e	1	2000	54	1.300000	1.732000	2.300000	1001621935	622548015	3203	6009	0	12219963	91312692
1481341026990406485	bzip2e	1	2000	54	1.300000	1.733000	2.301000	1001376020	722235383	3980	7168	0	10852564	91503111
1481341027499542931	bzip2e	1	2000	54	1.300000	1.733000	2.299000	1001376041	703281557	2209	3856	0	11000457	87449312
1481341028008777419	bzip2e	1	2000	54	1.300000	1.724000	2.287000	1001397134	640931059	3815	7004	0	12069401	95614581
1481341028518326616	bzip2e	1	2000	54	1.300000	1.749000	2.322000	1001497320	730079077	3979	7166	0	10454226	89692044
1481341029027607478	bzip2e	1	2000	54	1.300000	1.749000	2.320000	1001232340	687685882	2188	3837	0	11388993	88607700
1481341029536715091	bzip2e	1	2000	55	1.300000	1.726000	2.290000	1001212430	650315359	3836	7023	0	11780343	94634174
1481341030046316163	bzip2e	1	2000	55	1.300000	1.733000	2.301000	1001357275	735438632	3982	7172	0	10291999	89241967
1481341030555469067	bzip2e	1	2000	55	1.300000	1.724000	2.289000	1001229805	676788039	2129	3777	0	11557703	88181256
1481341031064665888	bzip2e	1	2000	55	1.300000	1.739000	2.307000	1001253414	729095590	3978	7164	0	9831065	87913609
1481341031574300626	bzip2e	1	2000	55	1.300000	1.736000	2.303000	1001294386	652771675	2045	3694	0	12130850	90037664
1481341032083582489	bzip2e	1	2000	55	1.300000	1.740000	2.310000	1001361075	695670797	3979	7166	0	11704414	95763381
1481341032592763060	bzip2e	1	2000	55	1.300000	1.727000	2.291000	1001228590	731090907	2984	5175	0	10417535	90001658
1481341033102311007	bzip2e	1	2000	55	1.300000	1.730000	2.295000	1001388940	624976203	3040	5685	0	12175448	91022973
1481341033611479286	bzip2e	1	2000	55	1.300000	1.746000	2.316000	1001237349	717768668	3981	7170	0	10934165	91669798
1481341034120674690	bzip2e	1	2000	55	1.300000	1.747000	2.318000	1001274357	707914899	2279	3957	0	10990911	88181394
1481341034629781094	bzip2e	1	2000	55	1.300000	1.750000	2.322000	1001249249	636196241	3745	6903	0	12056851	94887535
1481341035138914957	bzip2e	1	2000	55	1.300000	1.758000	2.334000	1001234430	730762635	3979	7166	0	10486960	89950934
1481341035648093819	bzip2e	1	2000	55	1.300000	1.740000	2.308000	552947383	353293050	1219	1889	5	5214948	45026770
1481341036157294890	consumer_jpeg_c	1	2000	53	1.300000	1.127000	1.493000	526519738	687896075	1869	2207	0	6352018	92953362
1481341036666296336	consumer_jpeg_c	1	2000	54	1.300000	1.576000	2.091000	882976898	1154385172	3102	3649	0	10647326	156101385
1481341037175277865	consumer_jpeg_c	1	2000	54	1.300000	1.716000	2.278000	886341153	1158637533	3103	3651	0	10697440	156869308
1481341037684157435	consumer_jpeg_c	1	2000	54	1.300000	1.711000	2.272000	886139648	1159112455	3104	3653	0	10693042	156869193
1481341038193314464	consumer_jpeg_c	1	2000	54	1.300000	1.727000	2.293000	875741173	1145750659	3064	3606	0	10559471	155036399
1481341038702630661	consumer_jpeg_c	1	2000	54	1.300000	1.724000	2.287000	877903293	1147298175	3100	3647	0	10598628	155093072
1481341039211716898	consumer_jpeg_c	1	2000	54	1.300000	1.723000	2.288000	886584122	1159207304	3101	3647	0	10698711	156979585
1481341039720836177	consumer_jpeg_c	1	2000	54	1.300000	1.728000	2.294000	886112713	1158992172	3105	3653	0	10687204	156824222
1481341040229760914	consumer_jpeg_c	1	2000	54	1.300000	1.717000	2.280000	885908762	1158788959	3102	3649	0	10682949	156787310
1481341040738960235	consumer_jpeg_c	1	2000	54	1.300000	1.729000	2.296000	886176197	1158998427	3106	3652	0	10689631	156829262
1481341041248135390	consumer_jpeg_c	1	2000	54	1.300000	1.717000	2.280000	884750981	1156876406	3114	3667	0	10670080	156513492
1481341041757284960	consumer_jpeg_c	1	2000	54	1.300000	1.722000	2.285000	886975110	1160397324	3126	3675	0	10707536	156811576
1481341042266367823	consumer_jpeg_c	1	2000	54	1.300000	1.712000	2.273000	886192269	1158896750	3102	3649	0	10692080	156894936
1481341042775287560	consumer_jpeg_c	1	2000	54	1.300000	1.734000	2.301000	882609622	1154320116	3102	3649	0	10644929	156071141
1481341043284333381	consumer_jpeg_c	1	2000	54	1.300000	1.711000	2.272000	879263815	1150156284	3063	3604	0	10601125	155786287
1481341043793436326	consumer_jpeg_c	1	2000	54	1.300000	1.739000	2.307000	885855096	1158041107	3109	3656	0	10688504	156705821
1481341044302538772	consumer_jpeg_c	1	2000	54	1.300000	1.713000	2.273000	885755934	1158261627	3121	3674	0	10691578	156627731
1481341044811756593	consumer_jpeg_c	1	2000	54	1.300000	1.735000	2.304000	886571444	1159486801	3116	3664	0	10704557	156776149
1481341045321102498	consumer_jpeg_c	1	2000	54	1.300000	1.719000	2.281000	878178238	1148776783	3064	3606	0	10584940	155595088
1481341045830177652	consumer_jpeg_c	1	2000	54	1.300000	1.730000	2.295000	886675822	1159279101	3109	3656	0	10704954	156876047
1481341046339308639	consumer_jpeg_c	1	2000	54	1.300000	1.726000	2.292000	885081109	1157073933	3114	3668	0	10679356	156540328
1481341046848478544	consumer_jpeg_c	1	2000	54	1.300000	1.717000	2.280000	886290430	1159168982	3120	3669	0	10698330	156706471
1481341047357488114	consumer_jpeg_c	1	2000	54	1.300000	1.732000	2.298000	878915805	1149361563	3071	3615	0	10597014	155629267
